ID,TIDPNUMB,PIACR ,LASTIRRIGATION 
295,26924,4.84,N
296,31633,7,N
297,31634,2.39,N
298,31635,9.64,N
299,31636,8.63,N
300,31638,1.01,N
301,31639,4.35,N
302,31640,4.2,N
303,31717,9.4,N
304,31757,1.02,N
305,31758,1.01,N
306,31775,9.71,N
307,51819,14.13,N
308,54435,23.31,N
309,54671,18.57,N
310,54672,20,N
311,54674,311.29,N
312,54677,34.67,N
313,54685,14.82,N
314,54686,16.44,N
315,54688,7.34,N
316,54876,53.92,N
317,56277,32.19,N
318,58316,10,N
319,58317,9.8,N
320,58561,77.64,N
321,59692,1.5,N
322,60034,88.5,N
323,60050,63.84,N
324,60360,53.42,N
325,60363,50.52,N
326,60364,66.6,N
327,60476,9.7,N
328,60483,9.9,N
329,60736,22.11,N
330,60879,7.41,N
331,60880,19.11,N
332,60881,19.71,N
333,60947,35.4,N
334,60954,39.39,N
335,60955,39.57,N
336,60961,18.6,N
337,60973,18.7,N
338,61178,18.28,N
339,61185,38.79,N
340,61943,9.75,N
341,62172,9.75,N
342,62376,96.37,N
343,62384,5.49,N
