ID,FLOWID,SBXCFS,SBXDFT
120,18923,12.55,X
121,18944,3.47,X
122,19007,1.49,X
123,19176,0.34,X
124,19242,3.7,X
125,19275,1.07,X
126,19276,0.54,X
127,19278,0.86,X
128,19361,22.44,X
129,19362,22.68,X
130,19369,18.34,X
131,19430,2.23,X
132,19477,5.23,X
133,19490,19.33,X
134,19491,16.83,X
135,19501,2.4,X
136,19504,2.1,X
137,19554,21.82,X
138,19570,17.38,X
139,19618,16.72,X
140,19720,1.34,X
141,20206,1.83,X
142,20216,5.72,X
143,20601,20.54,X
144,21470,20.62,X
145,21492,2.58,X
146,21506,1.4,X
147,21511,1.08,X
148,21568,3.66,X
149,21817,2.12,X
150,21818,2.23,X
151,21847,3.33,X
152,21848,3.01,X
153,21856,0.84,X
154,21865,4.17,X
155,21883,1.54,X
156,21893,2.1,X
157,22010,3.08,X
158,22022,1.1,X
159,22295,3.44,X
160,22715,22.1,X
161,22803,14.98,X
162,23185,30.4,X
163,24420,5,X
164,24434,0,X
165,24703,0.89,X
166,25014,14.98,X
167,25076,7.2,X
168,25090,7.3,X
169,25182,20.48,X
170,25185,13.74,X
171,25325,14.67,X
172,25368,14.92,X
173,25478,15.33,X
174,25525,14.96,X
175,25526,14.97,X
176,25528,14.93,X
177,25529,14.99,X
178,25535,7.35,X
179,25719,27.18,X
180,26379,15.01,X
181,26380,14.96,X
182,26381,14.99,X
183,26382,15,X
184,26387,14.98,X
185,26396,7.25,X
186,26645,14.9,X
187,26646,14.92,X
188,26720,14.03,X
189,26759,14.8,X
190,26773,13.74,X
191,26815,23.08,X
192,26851,15,X
193,26906,7.69,X
194,26944,4.36,X
195,26956,0,X
196,26957,0,X
197,26963,0,X
198,26981,0,X
199,27026,0.84,X
200,27027,0,X
201,27060,4,X
202,27163,0,X
203,27189,0,X
204,27242,19.21,X
205,27246,24.85,X
206,27268,10.44,X
207,27404,21.38,X
208,27410,15.09,X
209,27418,26.9,X
210,27508,15.21,X
211,27542,18.76,X
212,27545,4.87,X
213,27573,9.16,X
214,27598,9.49,X
215,27650,14.39,X
216,27652,14.99,X
217,27658,13.71,X
218,27659,13.76,X
219,27676,6.92,X
220,27678,15.89,X
221,27681,19.45,X
222,27689,19.99,X
223,27692,15.68,X
224,27704,10.9,X
225,27705,10.62,X
226,27706,10.65,X
227,27707,10.33,X
228,27803,13.74,X
229,27820,15.44,X
230,27836,16.36,X
231,27837,19.25,X
232,27841,21.14,X
233,27843,19.25,X
234,27844,16.85,X
235,27846,19.15,X
236,27847,17.7,X
237,27848,17.46,X
238,27850,21.46,X
239,27852,18.37,X
240,27859,18.56,X
241,27860,16.88,X
242,27863,16.59,X
243,27864,16.67,X
244,27865,15.51,X
245,27880,16,X
246,27886,17.83,X
247,27887,16.15,X
248,27888,15.38,X
249,27889,19.24,X
250,27890,19.36,X
251,27891,19.95,X
252,27902,18.79,X
253,27905,16.62,X
254,27906,15.85,X
255,27908,16.95,X
256,27912,15.95,X
257,27914,15.82,X
258,27916,13.41,X
259,27918,15.03,X
260,27919,15.01,X
261,27920,15.3,X
262,27921,14.98,X
263,27922,15.04,X
264,27924,14.95,X
265,27925,14.95,X
266,27926,14.94,X
267,27927,14.94,X
268,27931,12.95,X
269,27932,14.08,X
270,27935,12.7,X
271,27938,15.03,X
272,27939,15.04,X
273,27940,14.44,X
274,27941,14.54,X
275,27942,14.68,X
276,27955,15.65,X
277,27956,15.9,X
278,27965,15.01,X
279,27969,15.48,X
280,27974,15.27,X
281,27978,15.48,X
282,27980,15.33,X
283,27982,15.03,X
284,27983,13.69,X
285,27984,8.41,X
286,27985,15.91,X
287,27986,15.38,X
288,27987,16.06,X
289,28008,15.68,X
290,28014,16.11,X
291,28079,17.89,X
292,28080,16.22,X
293,28081,20.34,X
294,28083,19.61,X
295,28088,26.48,X
296,28213,25.59,X
297,28437,17.18,X
298,28779,15.11,X
299,28804,16.15,X
300,28836,13.32,X
301,28887,13.47,X
302,28889,14.61,X
303,28891,14.21,X
304,28895,14.84,X
305,28899,14.67,X
306,28900,14.53,X
307,28902,13.51,X
308,28903,13.4,X
309,28904,13.28,X
310,28905,14.02,X
311,28906,13.94,X
312,28909,13.56,X
313,28910,13.54,X
314,28912,14.34,X
315,28916,14.05,X
316,28928,13.08,X
317,28945,14.22,X
318,28946,14.69,X
319,28990,15.71,X
320,28991,14.45,X
321,28993,15.62,X
322,28994,15.18,X
323,28995,15.31,X
324,28997,14.96,X
325,28999,15.98,X
326,29000,15,X
327,29005,15.56,X
328,29010,15.14,X
329,29012,15.03,X
330,29013,15.04,X
331,29015,14.99,X
332,29020,15.18,X
333,29030,15.6,X
334,29032,15.08,X
335,29039,13.06,X
336,29040,13.01,X
337,29043,12.99,X
338,29053,14.01,X
339,29056,12.98,X
340,29057,12.96,X
341,29059,13.99,X
342,29061,13.29,X
343,29110,17.35,X
344,29112,14.87,X
345,29165,5.55,X
346,29166,5.55,X
347,29169,12.89,X
348,29175,4.17,X
349,29475,2.1,X
350,29486,1.56,X
351,29519,11.4,X
352,29525,21.11,X
